fit_id,operator_id,arm,adapter_seed,graph_realization,control_seed,teacher_seed,learner_seed,status,heldout_bce,heldout_accuracy,final_train_loss
"degree-a1102-g2102-cx-t6102-l7102","degree-a1102-g2102-cx","degree",1102,2102,,6102,7102,"complete",0.23346461438069335,0.906494140625,0.07246245320427323
"degree-a1102-g2102-cx-t6102-l7103","degree-a1102-g2102-cx","degree",1102,2102,,6102,7103,"complete",0.2348620415986606,0.90673828125,0.06847717310957553
"degree-a1102-g2102-cx-t6102-l7104","degree-a1102-g2102-cx","degree",1102,2102,,6102,7104,"complete",0.23402524707935227,0.909912109375,0.06846881667882994
"degree-a1102-g2102-cx-t6103-l7101","degree-a1102-g2102-cx","degree",1102,2102,,6103,7101,"complete",0.27344483050733787,0.895751953125,0.07475678690153756
"degree-a1102-g2102-cx-t6103-l7102","degree-a1102-g2102-cx","degree",1102,2102,,6103,7102,"complete",0.2776022969393787,0.89111328125,0.07311685854387784
"degree-a1102-g2102-cx-t6103-l7103","degree-a1102-g2102-cx","degree",1102,2102,,6103,7103,"complete",0.27528538206064024,0.899169921875,0.07850568125465936
"degree-a1102-g2102-cx-t6103-l7104","degree-a1102-g2102-cx","degree",1102,2102,,6103,7104,"complete",0.2751821287296246,0.894287109375,0.0747024187822651
"degree-a1102-g2102-cx-t6104-l7101","degree-a1102-g2102-cx","degree",1102,2102,,6104,7101,"complete",0.27158444145337185,0.89404296875,0.08112958124268925
"degree-a1102-g2102-cx-t6104-l7102","degree-a1102-g2102-cx","degree",1102,2102,,6104,7102,"complete",0.27942166461735757,0.894287109375,0.0784373125348709
"degree-a1102-g2102-cx-t6104-l7103","degree-a1102-g2102-cx","degree",1102,2102,,6104,7103,"complete",0.2747815613766653,0.8935546875,0.08345811456804611
"degree-a1102-g2102-cx-t6104-l7104","degree-a1102-g2102-cx","degree",1102,2102,,6104,7104,"complete",0.2798580530254416,0.89599609375,0.07343580244677245
"degree-a1103-g2102-cx-t6101-l7101","degree-a1103-g2102-cx","degree",1103,2102,,6101,7101,"complete",0.2509914696847974,0.9091796875,0.06229201417095774
"degree-a1103-g2102-cx-t6101-l7102","degree-a1103-g2102-cx","degree",1103,2102,,6101,7102,"complete",0.2324347770554103,0.906494140625,0.06780180202220062
"degree-a1103-g2102-cx-t6101-l7103","degree-a1103-g2102-cx","degree",1103,2102,,6101,7103,"complete",0.24668360328533423,0.912109375,0.0639068087228776
"degree-a1103-g2102-cx-t6101-l7104","degree-a1103-g2102-cx","degree",1103,2102,,6101,7104,"complete",0.2475202705742219,0.914306640625,0.06382441877271643
"degree-a1103-g2102-cx-t6102-l7101","degree-a1103-g2102-cx","degree",1103,2102,,6102,7101,"complete",0.23485184249078317,0.909912109375,0.06890642346647657
"degree-a1103-g2102-cx-t6102-l7102","degree-a1103-g2102-cx","degree",1103,2102,,6102,7102,"complete",0.23347276357820587,0.9072265625,0.07256866707342
