method,dataset_index,initialization_index,stream_seed,state_step,feature_dimensions,feature_payload_bytes,feature_acquisition_median_ns,feature_acquisition_ns_per_example,partition_build_median_ns,partition_build_ns_per_example,measurement_repetitions
output_layer_27,2,0,a303ea000000000e,2400,27,20736,10600,110.417,3690600,38443.750,3
last_hidden_layer_72,2,0,a303ea000000000e,2400,72,55296,21500,223.958,4003700,41705.208,3
rademacher_projection_32,2,0,a303ea000000000e,2400,32,24576,207200,2158.333,4416500,46005.208,3
sign_gradient_171,2,0,a303ea000000000e,2400,171,131328,19700,205.208,3597600,37475.000,3
full_gradient_171,2,0,a303ea000000000e,4200,171,131328,26100,271.875,6295700,65580.208,3
output_layer_27,2,0,a303ea000000000e,4200,27,20736,16700,173.958,2066500,21526.042,3
last_hidden_layer_72,2,0,a303ea000000000e,4200,72,55296,15900,165.625,4147700,43205.208,3
rademacher_projection_32,2,0,a303ea000000000e,4200,32,24576,178100,1855.208,2825000,29427.083,3
sign_gradient_171,2,0,a303ea000000000e,4200,171,131328,19800,206.250,3279200,34158.333,3
full_gradient_171,2,1,a303ea000000000f,600,171,131328,23500,244.792,4126300,42982.292,3
output_layer_27,2,1,a303ea000000000f,600,27,20736,10200,106.250,1635600,17037.500,3
last_hidden_layer_72,2,1,a303ea000000000f,600,72,55296,17800,185.417,3097300,32263.542,3
rademacher_projection_32,2,1,a303ea000000000f,600,32,24576,193600,2016.667,4665600,48600.000,3
sign_gradient_171,2,1,a303ea000000000f,600,171,131328,19500,203.125,2539400,26452.083,3
full_gradient_171,2,1,a303ea000000000f,2400,171,131328,19800,206.250,4337600,45183.333,3
output_layer_27,2,1,a303ea000000000f,2400,27,20736,9200,95.833,3084000,32125.000,3
last_hidden_layer_72,2,1,a303ea000000000f,2400,72,55296,13500,140.625,4290600,44693.750,3
rademacher_projection_32,2,1,a303ea000000000f,2400,32,24576,178400,1858.333,6291300,65534.375,3
sign_gradient_171,2,1,a303ea000000000f,2400,171,131328,20200,210.417,2512000,26166.667,3
full_gradient_171,2,1,a303ea000000000f,4200,171,131328,17500,182.292,4752400,49504.167,3
output_layer_27,2,1,a303ea000000000f,4200,27,20736,9900,103.125,2936000,30583.333,3
last_hidden_layer_72,2,1,a303ea000000000f,4200,72,55296,13300,138.542,4239300,44159.375,3
rademacher_projection_32,2,1,a303ea000000000f,4200,32,24576,178200,1856.250,3222800,33570.833,3
sign_gradient_171,2,1,a303ea000000000f,4200,171,131328,19800,206.250,3008500,31338.542,3
full_gradient_171,2,1,a303ea0000000010,600,171,131328,22700,236.458,3468700,36132.292,3
output_layer_27,2,1,a303ea0000000010,600,27,20736,14100,146.875,3165300,32971.875,3
last_hidden_layer_72,2,1,a303ea0000000010,600,72,55296,13300,138.542,2815100,29323.958,3
rademacher_projection_32,2,1,a303ea0000000010,600,32,24576,179200,1866.667,2481200,25845.833,3
sign_gradient_171,2,1,a303ea0000000010,600,171,131328,19600,204.167,3564100,37126.042,3
full_gradient_171,2,1,a303ea0000000010,2400,171,131328,17400,181.250,5794600,60360.417,3
output_layer_27,2,1,a303ea0000000010,2400,27,20736,9800,102.083,2630000,27395.833,3
last_hidden_layer_72,2,1,a303ea0000000010,2400,72,55296,18600,193.750,2928200,30502.083,3
rademacher_projection_32,2,1,a303ea0000000010,2400,32,24576,240000,2500.000,3419800,35622.917,3
sign_gradient_171,2,1,a303ea0000000010,2400,171,131328,19600,204.167,2207500,22994.792,3
full_gradient_171,2,1,a303ea0000000010,4200,171,131328,17200,179.167,4110200,42814.583,3
output_layer_27,2,1,a303ea0000000010,4200,27,20736,10000,104.167,5054600,52652.083,3
last_hidden_layer_72,2,1,a303ea0000000010,4200,72,55296,14100,146.875,4880400,50837.500,3
rademacher_projection_32,2,1,a303ea0000000010,4200,32,24576,194200,2022.917,4398000,45812.500,3
sign_gradient_171,2,1,a303ea0000000010,4200,171,131328,19600,204.167,3157600,32891.667,3
full_gradient_171,2,2,a303ea0000000011,600,171,131328,16900,176.042,5369500,55932.292,3
output_layer_27,2,2,a303ea0000000011,600,27,20736,9800,102.083,2462600,25652.083,3
last_hidden_layer_72,2,2,a303ea0000000011,600,72,55296,13700,142.708,2473200,25762.500,3
rademacher_projection_32,2,2,a303ea0000000011,600,32,24576,180200,1877.083,4390600,45735.417,3
sign_gradient_171,2,2,a303ea0000000011,600,171,131328,29600,308.333,4187000,43614.583,3
full_gradient_171,2,2,a303ea0000000011,2400,171,131328,22200,231.250,4044600,42131.250,3
output_layer_27,2,2,a303ea0000000011,2400,27,20736,9700,101.042,2363100,24615.625,3
last_hidden_layer_72,2,2,a303ea0000000011,2400,72,55296,14000,145.833,4017100,41844.792,3
rademacher_projection_32,2,2,a303ea0000000011,2400,32,24576,179800,1872.917,3001800,31268.750,3
sign_gradient_171,2,2,a303ea0000000011,2400,171,131328,19600,204.167,4923300,51284.375,3
full_gradient_171,2,2,a303ea0000000011,4200,171,131328,17400,181.250,4827300,50284.375,3
output_layer_27,2,2,a303ea0000000011,4200,27,20736,10600,110.417,2367400,24660.417,3
last_hidden_layer_72,2,2,a303ea0000000011,4200,72,55296,14200,147.917,3579400,37285.417,3
rademacher_projection_32,2,2,a303ea0000000011,4200,32,24576,188500,1963.542,2089900,21769.792,3
sign_gradient_171,2,2,a303ea0000000011,4200,171,131328,19600,204.167,3461400,36056.250,3
full_gradient_171,2,2,a303ea0000000012,600,171,131328,17000,177.083,4763700,49621.875,3
output_layer_27,2,2,a303ea0000000012,600,27,20736,9900,103.125,1970200,20522.917,3
last_hidden_layer_72,2,2,a303ea0000000012,600,72,55296,18900,196.875,2301300,23971.875,3
rademacher_projection_32,2,2,a303ea0000000012,600,32,24576,179000,1864.583,2792100,29084.375,3
sign_gradient_171,2,2,a303ea0000000012,600,171,131328,19700,205.208,3656000,38083.333,3
full_gradient_171,2,2,a303ea0000000012,2400,171,131328,17400,181.250,5684600,59214.583,3
output_layer_27,2,2,a303ea0000000012,2400,27,20736,14000,145.833,4252500,44296.875,3
last_hidden_layer_72,2,2,a303ea0000000012,2400,72,55296,14000,145.833,4510400,46983.333,3
rademacher_projection_32,2,2,a303ea0000000012,2400,32,24576,178700,1861.458,3153100,32844.792,3
sign_gradient_171,2,2,a303ea0000000012,2400,171,131328,19800,206.250,2703400,28160.417,3
full_gradient_171,2,2,a303ea0000000012,4200,171,131328,17400,181.250,6331300,65951.042,3
output_layer_27,2,2,a303ea0000000012,4200,27,20736,10300,107.292,2984500,31088.542,3
last_hidden_layer_72,2,2,a303ea0000000012,4200,72,55296,13400,139.583,3803600,39620.833,3
rademacher_projection_32,2,2,a303ea0000000012,4200,32,24576,182500,1901.042,3077100,32053.125,3
sign_gradient_171,2,2,a303ea0000000012,4200,171,131328,19900,207.292,4201400,43764.583,3
