cell_id,state_arm,step,source,candidate_count,spearman,pairwise_agreement,pair_count,top1_agreement,candidate_regret,utility_spread
1,training_full96,2400,fixed,170,0.531245306,0.701093391,14359,0.000000000,1.371300220490e-2,2.819955348969e-2
1,training_full96,2400,rotating,170,0.296290280,0.611254266,14359,0.000000000,3.207206726074e-3,2.052044868469e-2
1,training_full96,4200,training,170,-0.086048400,0.468702077,14346,0.000000000,2.198100090027e-2,4.002023488283e-4
1,training_full96,4200,fixed,170,0.398315347,0.644155121,14363,0.000000000,1.108193397522e-2,3.010869026184e-2
1,training_full96,4200,rotating,170,0.500031754,0.683305486,14364,0.000000000,1.428103446960e-2,4.395079612732e-2
1,sentinel_fixed128,0,training,170,0.564875796,0.706456561,14342,1.000000000,0.000000000000e0,2.607583999634e-3
1,sentinel_fixed128,0,fixed,170,0.503345770,0.682860528,14347,1.000000000,0.000000000000e0,1.418113708496e-3
1,sentinel_fixed128,0,rotating,170,0.246601416,0.593129399,14351,1.000000000,0.000000000000e0,1.464009284973e-3
1,sentinel_fixed128,600,training,170,0.117561927,0.541016713,14360,0.000000000,4.639863967896e-3,5.075812339783e-3
1,sentinel_fixed128,600,fixed,170,0.006359279,0.501114051,14362,0.000000000,4.009723663330e-3,1.447856426239e-3
1,sentinel_fixed128,600,rotating,170,0.313589088,0.627863260,14363,0.000000000,1.547098159790e-3,7.512092590332e-3
1,sentinel_fixed128,2400,training,170,0.129162700,0.542745753,14364,0.000000000,1.504898071289e-2,2.720236778259e-2
1,sentinel_fixed128,2400,fixed,170,-0.032752769,0.487845650,14357,0.000000000,1.729607582092e-2,1.787580549717e-3
1,sentinel_fixed128,2400,rotating,170,0.327311342,0.611250348,14364,0.000000000,9.419202804565e-3,2.209627628326e-2
1,sentinel_fixed128,4200,training,170,0.115753424,0.540435025,14344,0.000000000,2.218294143677e-2,3.151655197144e-2
1,sentinel_fixed128,4200,fixed,170,-0.017727456,0.493787519,14326,0.000000000,2.508068084717e-2,1.334710046649e-3
1,sentinel_fixed128,4200,rotating,170,0.255630236,0.595858896,14344,0.000000000,1.940369606018e-2,3.529167175293e-2
1,sentinel_rotating128,0,training,170,0.564875796,0.706456561,14342,1.000000000,0.000000000000e0,2.607583999634e-3
1,sentinel_rotating128,0,fixed,170,0.503345770,0.682860528,14347,1.000000000,0.000000000000e0,1.418113708496e-3
1,sentinel_rotating128,0,rotating,170,0.246601416,0.593129399,14351,1.000000000,0.000000000000e0,1.464009284973e-3
1,sentinel_rotating128,600,training,170,0.515531876,0.684500174,14355,1.000000000,0.000000000000e0,3.856241703033e-3
1,sentinel_rotating128,600,fixed,170,0.143982570,0.546182781,14356,1.000000000,0.000000000000e0,2.485215663910e-3
1,sentinel_rotating128,600,rotating,170,-0.230307908,0.429706005,14354,0.000000000,3.960371017456e-3,4.868865013123e-3
1,sentinel_rotating128,2400,training,170,0.113712403,0.536490251,14360,0.000000000,2.051889896393e-3,3.623545169830e-3
1,sentinel_rotating128,2400,fixed,170,-0.088272867,0.472804513,14359,0.000000000,1.892626285553e-3,2.397835254669e-3
1,sentinel_rotating128,2400,rotating,170,0.283951168,0.610642892,14357,0.000000000,1.228153705597e-3,2.202093601227e-3
1,sentinel_rotating128,4200,training,170,0.063014187,0.524048515,14346,0.000000000,3.744661808014e-3,4.195153713226e-3
1,sentinel_rotating128,4200,fixed,170,-0.211621607,0.420186812,14346,0.000000000,3.469586372375e-4,3.927409648895e-3
1,sentinel_rotating128,4200,rotating,170,-0.264002345,0.405047407,14344,0.000000000,2.407431602478e-3,3.194570541382e-3
2,training_full96,0,training,170,0.369402147,0.635768051,14348,0.000000000,2.779960632324e-4,5.720853805542e-4
2,training_full96,0,fixed,170,0.488710239,0.690296947,14346,0.000000000,1.304149627686e-4,1.239895820618e-3
2,training_full96,0,rotating,170,0.377936398,0.631263503,14349,0.000000000,2.675056457520e-4,1.998662948608e-3
2,training_full96,600,training,170,-0.006143106,0.500174058,14363,0.000000000,1.012098789215e-2,2.865314483643e-3
